file,line,type,commit,author,date,time,timezone,datetime,depth,length
resume/style.css,17,css,52323c7e,nijain7,2026-04-07,10:28:13,-07:00,2026-04-07T10:28:13-07:00,2,15
resume/style.css,18,css,52323c7e,nijain7,2026-04-07,10:28:13,-07:00,2026-04-07T10:28:13-07:00,2,18
resume/style.css,19,css,fe490947,nijain7,2026-04-07,12:57:25,-07:00,2026-04-07T12:57:25-07:00,2,21
resume/style.css,20,css,52323c7e,nijain7,2026-04-07,10:28:13,-07:00,2026-04-07T10:28:13-07:00,0,0
resume/index.html,1,html,c6200b1f,nijain7,2026-04-01,23:07:00,-07:00,2026-04-01T23:07:00-07:00,0,13
resume/index.html,2,html,c6200b1f,nijain7,2026-04-01,23:07:00,-07:00,2026-04-01T23:07:00-07:00,0,14
resume/index.html,3,html,c6200b1f,nijain7,2026-04-01,23:07:00,-07:00,2026-04-01T23:07:00-07:00,0,4
resume/index.html,4,html,e536e0bb,nijain7,2026-04-06,16:15:06,-07:00,2026-04-06T16:15:06-07:00,2,41
resume/index.html,5,html,3fbbfd29,nijain7,2026-04-06,15:51:00,-07:00,2026-04-06T15:51:00-07:00,2,42
resume/index.html,6,html,c6200b1f,nijain7,2026-04-01,23:07:00,-07:00,2026-04-01T23:07:00-07:00,2,20
resume/index.html,7,html,c6200b1f,nijain7,2026-04-01,23:07:00,-07:00,2026-04-01T23:07:00-07:00,2,68
resume/index.html,8,html,c6200b1f,nijain7,2026-04-01,23:07:00,-07:00,2026-04-01T23:07:00-07:00,2,19
resume/index.html,9,html,c6200b1f,nijain7,2026-04-01,23:07:00,-07:00,2026-04-01T23:07:00-07:00,0,5
resume/index.html,10,html,c6200b1f,nijain7,2026-04-01,23:07:00,-07:00,2026-04-01T23:07:00-07:00,0,4
resume/index.html,11,html,c6200b1f,nijain7,2026-04-01,23:07:00,-07:00,2026-04-01T23:07:00-07:00,2,7
resume/index.html,12,html,c6200b1f,nijain7,2026-04-01,23:07:00,-07:00,2026-04-01T23:07:00-07:00,4,18
resume/index.html,13,html,c6200b1f,nijain7,2026-04-01,23:07:00,-07:00,2026-04-01T23:07:00-07:00,4,37
resume/index.html,14,html,c6200b1f,nijain7,2026-04-01,23:07:00,-07:00,2026-04-01T23:07:00-07:00,2,8
resume/index.html,15,html,c6200b1f,nijain7,2026-04-01,23:07:00,-07:00,2026-04-01T23:07:00-07:00,2,7
resume/index.html,16,html,5eeb3414,nijain7,2026-04-01,23:09:48,-07:00,2026-04-01T23:09:48-07:00,4,16
resume/index.html,17,html,52323c7e,nijain7,2026-04-07,10:28:13,-07:00,2026-04-07T10:28:13-07:00,4,41
